idx,line,bar,mdur,bdur,beat,abs,1b40,1attk,1last,1next,2b40,2attk,2last,2next,3b40,3attk,3last,3next,4b40,4attk,4last,4next
0,2000,3000,3100,3200,4000,5000,1040,7100,7200,7300,1040,7100,7200,7300,1040,7100,7200,7300,1040,7100,7200,7300
1,19,1,8,4,0,0,145,1,-1,2,185,1,-1,2,168,1,-1,2,185,1,-1,2
2,20,1,8,4,4,4,145,2,1,3,185,2,1,3,168,2,1,3,185,2,1,3
3,22,2,8,4,0,8,128,3,2,4,179,3,2,4,168,3,2,4,191,3,2,4
4,23,2,8,4,4,12,145,4,3,6,168,4,3,6,0,4,3,5,197,4,3,6
5,24,2,8,4,6,14,-145,4,3,6,-168,4,3,6,185,5,4,6,-197,4,3,6
6,26,3,8,4,0,16,122,6,4,7,174,6,4,7,185,6,5,7,202,6,4,7
7,27,3,8,4,4,20,128,7,6,8,179,7,6,8,168,7,6,8,191,7,6,8
8,29,4,8,4,0,24,145,8,7,9,185,8,7,9,168,8,7,9,197,8,7,9
9,30,4,8,4,4,28,145,9,8,10,185,9,8,10,168,9,8,10,197,9,8,10
10,32,5,8,4,0,32,122,10,9,11,185,10,9,11,162,10,9,11,214,10,9,11
11,33,5,8,4,6,38,122,11,10,12,185,11,10,12,162,11,10,12,214,11,10,12
12,35,6,8,4,0,40,122,12,11,13,185,12,11,13,162,12,11,13,214,12,11,13
13,36,6,8,4,4,44,122,13,12,14,185,13,12,14,174,13,12,14,214,13,12,14
14,38,7,8,4,0,48,128,14,13,15,179,14,13,15,191,14,13,15,208,14,13,15
15,39,7,8,4,4,52,151,15,14,16,174,15,14,16,191,15,14,17,202,15,14,16
16,40,7,8,4,6,54,128,16,15,17,179,16,15,17,-191,15,14,17,208,16,15,18
17,42,8,8,4,0,56,145,17,16,21,185,17,16,20,168,17,15,21,-208,16,15,18
18,43,8,8,4,1,57,-145,17,16,21,-185,17,16,20,-168,17,15,21,202,18,16,19
19,44,8,8,4,2,58,-145,17,16,21,-185,17,16,20,-168,17,15,21,197,19,18,20
20,45,8,8,4,3,59,-145,17,16,21,179,20,17,21,-168,17,15,21,191,20,19,21
21,46,8,8,4,4,60,122,21,17,23,174,21,20,22,174,21,17,23,185,21,20,23
22,47,8,8,4,5,61,-122,21,17,23,168,22,21,23,-174,21,17,23,-185,21,20,23
23,48,8,8,4,6,62,139,23,21,26,162,23,22,26,179,23,21,26,191,23,21,25
24,50,9,8,4,0,64,-139,23,21,26,-162,23,22,26,-179,23,21,26,-191,23,21,25
25,51,9,8,4,1,65,-139,23,21,26,-162,23,22,26,-179,23,21,26,185,25,23,26
26,52,9,8,4,2,66,122,26,23,27,174,26,23,27,185,26,23,27,202,26,25,28
27,53,9,8,4,4,68,145,27,26,29,168,27,26,29,185,27,26,29,-202,26,25,28
28,54,9,8,4,6,70,-145,27,26,29,-168,27,26,29,-185,27,26,29,197,28,26,29
29,56,10,8,4,0,72,122,29,27,30,162,29,27,30,185,29,27,30,202,29,28,30
30,58,11,8,4,0,80,145,30,29,31,168,30,29,31,185,30,29,31,197,30,29,31
31,59,11,8,4,4,84,145,31,30,32,168,31,30,32,185,31,30,32,197,31,30,32
32,61,12,8,4,0,88,122,32,31,33,174,32,31,33,185,32,31,33,202,32,31,33
33,62,12,8,4,4,92,122,33,32,34,174,33,32,34,185,33,32,34,202,33,32,34
34,64,13,8,4,0,96,128,34,33,35,179,34,33,35,168,34,33,35,191,34,33,35
35,65,13,8,4,4,100,128,35,34,36,179,35,34,36,168,35,34,36,191,35,34,36
36,67,14,8,4,0,104,145,36,35,37,185,36,35,37,168,36,35,37,197,36,35,37
37,68,14,8,4,4,108,145,37,36,38,185,37,36,38,168,37,36,38,197,37,36,38
38,70,15,8,4,0,112,151,38,37,40,162,38,37,40,0,38,37,39,202,38,37,40
39,71,15,8,4,2,114,-151,38,37,40,-162,38,37,40,174,39,38,41,-202,38,37,40
40,72,15,8,4,6,118,151,40,38,41,162,40,38,41,-174,39,38,41,202,40,38,41
